courier_id,courier_name,courier_code,courier_status,courier_url
1,4px Express,4px,0,
2,Abx Express,abx,1,https://www.abxexpress.com.my/Home/Tracking?tracking-id=
3,After 5,after5,0,
4,Airpak Express,airpak,0,
5,Aramex ,aramex,0,
6,Asiaxpress ,asiaxpress,0,
7,Citylink Express,citylink,0,
8,CJ Century,cj,0,
9,Collectco,collectco,0,
10,Comone Express,comone,0,
11,Cuckoo Express,cuckoo,0,
12,DD Express,dd,0,
13,DeliverLah,deliverlah,0,
14,Dex-i Express,dex-i,0,
15,DHL Ecommerce,dhl-ecommerce,1,https://www.dhl.com/my-en/home/tracking/tracking-ecommerce.html?submit=1&tracking-id=
16,DHL Express,dhl,0,
17,Dpe Express,dpe,0,
18,Dpex Express,dpex,0,
19,DropIt ,dropit,0,
20,EasiPass,easipass,0,
21,Ecargo Express,ecargo,0,
22,FedEx Express,fedex,0,
23,Freight Mark Express,freight-mark,0,
24,Gdex Express,gdex,0,
25,GoGet,goget,0,
26,ie-Post Express,ie-post,0,
27,Instant ,instant,0,
28,J&T Express,jt,0,
29,Jayon Express,jayon,0,
30,Jet Ship,jet-ship,0,
31,Jinsung Trading,jinsung,0,
32,Jocom ,jocom,0,
33,Kangaroo Express,kangaroo,0,
34,Karhoo Courier,karhoo,0,
35,KGM Hub,kgmhub,0,
36,KTMD Malaysia,ktmd,0,
37,Lazada eLogistics (LEL),lel,0,
38,Leopards Express,leopards,0,
39,LineClear Express,lineclear,0,
40,LWE,lwe,0,
41,M Xpress,mxpress,0,
42,Matdespatch Express,matdespatch,0,
43,Motorex ,motorex,0,
44,MyPoz,mypoz,0,
45,NationWide Express,nationwide,0,
46,Nhans Solutions,nhans,0,
47,NinjaVan Malaysia,ninja-van,1,https://www.ninjavan.co/en-my/tracking?id=
48,Pgeon Delivery,pgeon,0,
49,Pickupp,pickupp,0,
50,Poslaju Express,poslaju,0,
51,Postco,postco,0,
52,PRouter Express,prouter,0,
53,Quantium Solutions,quantium,0,
54,Qxpress,qxpress,0,
55,Redbox Asia Malaysia,redboxasia,0,
56,Roadbull ,roadbull,0,
57,RZY Express,rzy,0,
58,SF Express,sf,0,
59,SimplyPost ,simplypost,0,
60,Singapore Post,singpost,0,
61,Skynet Express,skynet,0,
62,SPC ,spc,0,
63,SpeedPost ,speedpost,0,
64,Sure Reach,sure-reach,0,
65,TaqBin Malaysia,taqbin,0,
66,TNT Express,tnt,0,
67,Toll Express,toll,0,
68,UPS Express,ups,0,
69,UrbanFox ,urbanfox,0,
70,WePost ,wepost,0,
71,YWG Express,ywg,0,
72,ZeptoExpress,zepto,0,
73,Zoom ,zoom,0,
74,Inhouse COD,inhousecod,1,
75,Worldlink Cargo,worldlink,0,https://worldlink-express.net/tracking/search?code=
