id,payment_type_name,auto_approve,payment_type_status,payment_dt_added
1,Maybank,1,0,19/11/2018 15:11
2,CIMB,1,0,19/11/2018 15:11
3,CASH,1,1,19/11/2018 15:11
4,DEBT,1,1,19/11/2018 15:11
5,BSN,1,0,19/11/2018 15:11
6,MAYBANK,1,1,21/11/2018 2:18
7,CIMB,1,1,21/11/2018 2:18
8,Bank Islam,1,0,21/11/2018 2:18
9,Bsn,1,0,21/11/2018 2:18
10,COD CJ CENTURY,1,1,21/11/2018 8:47
11,SENANG PAY,1,1,21/11/2018 8:47
12,BILLPLZ,1,1,04/12/2018 2:30
13,Maybank Grobox,1,0,07/03/2019 5:45
14,FOC,1,1,15/04/2019 4:49
15,Maybank Besty,1,1,19/04/2019 3:31
16,COD DHL Ecommerce,1,1,15/05/2019 3:35
17,COD,1,1,19/08/2019 5:03
18,TOYYIBPAY,1,1,11/02/2020 3:26
19,Public Bank,1,1,21/07/2020 3:31
20,TnGo,1,1,22/05/2021 8:46
21,SecurePay,1,1,23/07/2021 12:06
22,Shopee,1,1,07/10/2021 5:55
