id,name,description,code,price,weight,is_foc,main_product_id,is_active,sensitive,created_at,updated_at
1,Doxtejoint Cream,,DJ,90,116,0,0,1,0,2023-01-17 09:02:36,2018-08-01 10:27:20
2,Nutremom Basic,,NT,130,0,0,0,1,0,2023-01-17 09:02:36,2018-08-02 14:57:29
3,Doxtejoint Extract,,,0,116,0,0,0,0,2023-01-17 09:02:36,2018-08-02 18:38:02
4,LAZADA Doxtejoint,,,99,116,0,0,0,0,2023-01-17 09:02:36,2018-08-02 18:40:55
5,11STREET Doxtejoint,,,99,116,0,0,0,0,2023-01-17 09:02:36,2018-08-02 18:41:26
6,Xgene Royale,,XG,99,0,0,0,0,1,2023-01-17 09:02:36,2018-08-02 18:42:20
7,Emlac ,,EM,90,0,0,0,0,0,2023-01-17 09:02:36,2018-08-02 18:43:39
8,Doxtejoint Extract,,DJEX,5,42,0,0,1,0,2023-01-17 09:02:36,2018-08-06 16:46:40p
9,Royale Tin( FOC ),,RT 2018,0,0,1,0,0,0,2023-01-17 09:02:36,2018-08-14 11:50:20
10,Loket Viral,,LV,0,0,1,0,0,0,2023-01-17 09:02:36,2018-09-06 15:25:51
11,Royale Tin (Liquid),,RTL,100,0,0,0,0,0,2023-01-17 09:02:36,2018-09-14 13:10:58
12,Footpatch,,FP,0,80,1,0,0,0,2023-01-17 09:02:36,2018-10-03 07:53:58
13,Loket Channel,,LC,0,0,1,0,0,0,2023-01-17 09:02:36,2018-10-15 10:45:42
14,Nutremom Basic_RN,,NTRN,45,0,0,0,1,0,2023-01-17 09:02:36,2018-10-18 05:15:52
15,Royale Tin (Liquid) (FOC),,RTLB FOC,0,0,1,0,0,0,2023-01-17 09:02:36,2018-11-12 07:38:46
16,Honey Face Mask (FOC),,HFM,0,0,1,0,0,0,2023-01-17 09:02:36,2018-11-30 10:26:18
17,Pandora Inspired,,PAN,0,0,1,0,0,0,2023-01-17 09:02:36,2018-12-26 04:00:13
18,Gojes Inspired,,GOJ,0,0,1,0,0,0,2023-01-17 09:02:36,2018-12-26 04:01:39
19,Collagen Soap,,CS,0,0,1,0,0,0,2023-01-17 09:02:36,2018-12-28 05:04:49
20,Crystal Gold Face Mask,,CGFM,0,0,1,0,0,0,2023-01-17 09:02:36,2019-01-08 03:08:12
